capital = 277

recruit_character = MEX_Mathys_Lestrange
recruit_character = MEX_Aubert_Philippe
recruit_character = MEX_Sixte_Moreau
recruit_character = MEX_Mateo_Robin
recruit_character = MEX_Louis_Buonaparte_IV

set_country_flag = monroe_doctrine

set_convoys = 45
set_stability = 0.2
set_war_support = 0.1

set_politics = {
	ruling_party = socialism
	last_election = "1901.5.1"
	election_frequency = 48
	elections_allowed = yes
}
set_popularities = {
	communism = 10
	socialism = 40
	liberalism = 0
	conservatism = 25
	jacobinism = 10
	duemarism = 15
	indigeneum = 0
	suprarealisme = 0
}

add_ideas = MEX_Rampant_Corruption
add_ideas = MEX_Legacy_of_the_Penglai_War

oob = "MEX"
set_technology = {
	#infantry
	infantry_weapons = 1
	infantry_weapons1 = 1
	
	#support
	tech_support = 1
	tech_engineers = 1
	tech_recon = 1

	#artillery
	gw_artillery = 1

	#engineering
	electrical_engineering = 1
	mechanical_engineering = 1
	basic_train = 1
	basic_railways = 1
	construction0 = 1
	powder_type_b = 1
}
if = {
	limit = {
		has_dlc = "Man the Guns"
	}

	set_technology = {
		basic_naval_mines = 1	
		early_ship_hull_light = 1
		early_ship_hull_cruiser = 1
		basic_battery = 1
		basic_light_battery = 1
		basic_medium_battery = 1
		basic_heavy_battery = 1
		basic_torpedo = 1
		sonar = 1
		smoke_generator = 1
		basic_secondary_battery = 1
		improved_secondary_battery = 1
		basic_cruiser_armor_scheme = 1
		basic_heavy_armor_scheme = 1
		mtg_transport = 1
		pre_dreadnoughts = 1
	}

	set_naval_oob = "MEX_naval"

	create_equipment_variant = {
		name = "Baguette Class"
		type = ship_hull_cruiser_1
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_medium_battery_2
			fixed_ship_anti_air_slot = empty
			fixed_ship_fire_control_system_slot = ship_fire_control_system_0
			fixed_ship_radar_slot = empty
			fixed_ship_engine_slot = cruiser_ship_engine_1
			fixed_ship_armor_slot = ship_armor_cruiser_1
			mid_1_custom_slot = empty
			rear_1_custom_slot = empty
		}
		obsolete = yes
	}
	create_equipment_variant = {
		name = "Indépendance Class"
		type = ship_hull_cruiser_1
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_1
			fixed_ship_anti_air_slot = empty
			fixed_ship_fire_control_system_slot = ship_fire_control_system_0
			fixed_ship_radar_slot = empty
			fixed_ship_engine_slot = cruiser_ship_engine_1
			fixed_ship_armor_slot = ship_armor_cruiser_1
			mid_1_custom_slot = empty
			rear_1_custom_slot = empty
		}
		obsolete = yes
	}
	create_equipment_variant = {
		name = "Démocratie Class"
		type = ship_hull_cruiser_1
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_1
			fixed_ship_anti_air_slot = empty
			fixed_ship_fire_control_system_slot = ship_fire_control_system_0
			fixed_ship_radar_slot = empty
			fixed_ship_engine_slot = cruiser_ship_engine_1
			fixed_ship_armor_slot = ship_armor_cruiser_1
			mid_1_custom_slot = empty
			rear_1_custom_slot = empty
		}
		obsolete = yes
	}
	create_equipment_variant = {
		name = "Tampico Class"
		type = ship_hull_cruiser_1
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_1
			fixed_ship_anti_air_slot = empty
			fixed_ship_fire_control_system_slot = ship_fire_control_system_0
			fixed_ship_radar_slot = empty
			fixed_ship_engine_slot = cruiser_ship_engine_1
			fixed_ship_armor_slot = ship_armor_cruiser_1
			mid_1_custom_slot = empty
			rear_1_custom_slot = empty
		}
		obsolete = yes
	}
	create_equipment_variant = {
		name = "Nicholas Bravo Class"
		type = ship_hull_cruiser_1
		parent_version = 0
		modules = {
			fixed_ship_battery_slot = ship_light_medium_battery_1
			fixed_ship_anti_air_slot = empty
			fixed_ship_fire_control_system_slot = ship_fire_control_system_0
			fixed_ship_radar_slot = empty
			fixed_ship_engine_slot = cruiser_ship_engine_1
			fixed_ship_armor_slot = ship_armor_cruiser_1
			mid_1_custom_slot = empty
			rear_1_custom_slot = ship_medium_battery_1
		}
	}	
}
